Posts,Preprocessed Posts
"Hi Ladies,
  
  I completed 3 radiation treatments (targeted) to the brain about 3 weeks ago. Even prior to my seizure and all that mess, I was struggling with my appetite. Now it's really bad. I have had to eliminate dairy as it was causing nausea and vomiting. Spicy foods are out and tomato based foods seem to bother me.
  
  I've eaten applesauce until I'm almost tired of it. I'm doing okay with soft scrambled eggs. I am eating some peanut butter crackers. I am also struggling with drinking enough fluids.
  
  Also, I want to sleep a lot. I have been on continuous chemo for over 3 1/2 yrs. I am to begin a new one this Wednesday. (Can't remember the name of it). 
  
  I'm just so tired and frustrated!! Any suggestions? 
  
  Thanks,
  
  Carla
  
  Reply",hi ladies i completed 3 radiation treatments targeted to the brain about 3 weeks ago even prior to my seizure and all that mess i was struggling with my appetite now its really bad i have had to eliminate dairy as it was causing nausea and vomiting spicy foods are out and tomato based foods seem to bother me ive eaten applesauce until im almost tired of it im doing okay with soft scrambled eggs i am eating some peanut butter crackers i am also struggling with drinking enough fluids also i want to sleep a lot i have been on continuous chemo for over 3 12 yrs i am to begin a new one this wednesday cant remember the name of it im just so tired and frustrated any suggestions thanks carla reply
"I certainly don't recally why I chose the name ""zenmama"" when I joined this board way back way. Must have been wishful thinking. Or maybe more positive thinking at the time. Anyway, I don't feel very ""zen"". 
  Does anybody have any experience and tips for coping with Cisplation? I have had many rounds of Carboplatin, which I did not find fun, but marginally tolerable in retrospect now, and Taxol I can deal with (I have been fortunate in that my neuropathy has stayed in the realm of numbness and clumsiness and not pins/needles/pain). I have been taking Emend and Zofran and Maxran (or Metonia or something - the nurses call it Maxran) for naseua, so that isn't the problem. It is overwhelming mental distress and inability to eat anything - fortunately I can still drink water). I get Taxol by itself two weeks out of three and then Cisplatin added on the first of the three-week cycle (since I had a reaction to Carboplatin I can't be treated with it it any longer), and it feels lik all hell breaks loose. I can't even focus on a movie, and certainly not a book or magazine.
  I saw somebody on the board that had been treated with cisplatin for years. I have had three treatments and am on the verge of telling my doctor that I can't do any more. And she had told me after my first treatment that the dose I was getting wasn't all that high! That I shouldn't even need the Emend (the nurses told me to ask her for it).
  My mind has been in some dark places over the past three days since my treatment, and I am at my wits end. I actually found myself feeling envious of a couple of obituaries I read thinking that those souls were over the worst. At the same time that I am so looking forward to winter being over and good weather and want to live!! This drug is crazy-making for me! I am almost equally afraid of giving it up in case it is what is working!
  I do take an anti-depressant (with the exception of the couple of days when I don't feel like swallowing anything)!
  This is my third recurreance, stage IIIC diagnosis 13 years ago, so I have been very fortunate and have done very well up to now - got through the first two recurrences without any issues, so very, very fortunate. This darn cisplatin!!
  Thank you for reading. Have a peaceful and fun Sunday.",i certainly dont recally why i chose the name zenmama when i joined this board way back way must have been wishful thinking or maybe more positive thinking at the time anyway i dont feel very zen does anybody have any experience and tips for coping with cisplation i have had many rounds of carboplatin which i did not find fun but marginally tolerable in retrospect now and taxol i can deal with i have been fortunate in that my neuropathy has stayed in the realm of numbness and clumsiness and not pinsneedlespain i have been taking emend and zofran and maxran or metonia or something the nurses call it maxran for naseua so that isnt the problem it is overwhelming mental distress and inability to eat anything fortunately i can still drink water i get taxol by itself two weeks out of three and then cisplatin added on the first of the threeweek cycle since i had a reaction to carboplatin i cant be treated with it it any longer and it feels lik all hell breaks loose i cant even focus on a movie and certainly not a book or magazine i saw somebody on the board that had been treated with cisplatin for years i have had three treatments and am on the verge of telling my doctor that i cant do any more and she had told me after my first treatment that the dose i was getting wasnt all that high that i shouldnt even need the emend the nurses told me to ask her for it my mind has been in some dark places over the past three days since my treatment and i am at my wits end i actually found myself feeling envious of a couple of obituaries i read thinking that those souls were over the worst at the same time that i am so looking forward to winter being over and good weather and want to live this drug is crazymaking for me i am almost equally afraid of giving it up in case it is what is working i do take an antidepressant with the exception of the couple of days when i dont feel like swallowing anything this is my third recurreance stage iiic diagnosis 13 years ago so i have been very fortunate and have done very well up to now got through the first two recurrences without any issues so very very fortunate this darn cisplatin thank you for reading have a peaceful and fun sunday
"good evening teal sisters. Treatments for the past several months have been a little tough to take, but sometimes I think that as we continue year after year every treatment will be tougher. Diagnosed in November 2011 with 3c. I've had pretty much all the standard chemos for our disease plus 26 rounds of chemo. The last two were topotecan and gemsar, which as alexandria once said are pretty ineffective by themselves. Biggest problem to date is ascites. Have to get between 3 and 4 liters drained about every 5 days. They sent the fluid to a testing lab in Pittsburgh and it listed several chemo treatments which may be effective, one of which is etoposid You take 3 pills for 4 days every month. Has anyone ever used this chemo and did it help at all? They are hoping it will either dry up the ascites or at least cut production. Right now I'm recovering from what they call a Y90 procedure. They go up thru your groin and put radioactive spheres in any spots on your liver. Anyone had this done? They say it is a fairly new but seems to be quite effective. Side effects are extreme fatigue and nausea. Chemo doctors are pushing to take the pills, but radiation doctor says wait 3 weeks at least to get over Y90. They never seem to agree. Testing of ascites fluid showed topotecan and gemsar would do no good. There are 5 or 6 listed that should help. We will see. Anyone else had any succces with testing? Hang in there all you wonderful ovarian cancer fighters. I am grateful for this link at csn so we can compare notes and get ideas on how to fight our symptoms. Love to you all, jean",good evening teal sisters treatments for the past several months have been a little tough to take but sometimes i think that as we continue year after year every treatment will be tougher diagnosed in november 2011 with 3c ive had pretty much all the standard chemos for our disease plus 26 rounds of chemo the last two were topotecan and gemsar which as alexandria once said are pretty ineffective by themselves biggest problem to date is ascites have to get between 3 and 4 liters drained about every 5 days they sent the fluid to a testing lab in pittsburgh and it listed several chemo treatments which may be effective one of which is etoposid you take 3 pills for 4 days every month has anyone ever used this chemo and did it help at all they are hoping it will either dry up the ascites or at least cut production right now im recovering from what they call a y90 procedure they go up thru your groin and put radioactive spheres in any spots on your liver anyone had this done they say it is a fairly new but seems to be quite effective side effects are extreme fatigue and nausea chemo doctors are pushing to take the pills but radiation doctor says wait 3 weeks at least to get over y90 they never seem to agree testing of ascites fluid showed topotecan and gemsar would do no good there are 5 or 6 listed that should help we will see anyone else had any succces with testing hang in there all you wonderful ovarian cancer fighters i am grateful for this link at csn so we can compare notes and get ideas on how to fight our symptoms love to you all jean
"hi all,
  i was diagnosed with stage IV OC in December and since I may have had one period that was ultra short. My body has tried to have one a couple of times with no luck. I'm having mood swings and the last three days I've felt like crying a lot for no apparent reason. I have also been waking up at night covered in sweat. I need to call my doc to make sure this is normal. Otherwise the chemo is going well and I'm scheduled to have surgery on March 17th. Did/does anyone have experiences like this?",hi all i was diagnosed with stage iv oc in december and since i may have had one period that was ultra short my body has tried to have one a couple of times with no luck im having mood swings and the last three days ive felt like crying a lot for no apparent reason i have also been waking up at night covered in sweat i need to call my doc to make sure this is normal otherwise the chemo is going well and im scheduled to have surgery on march 17th diddoes anyone have experiences like this
"my wife Lorraine had her head shaved yeasterday. She didn't enjoy doing it, but it was coming out so rapidly, she decided to get rid of it allat once. I guess it could be a coinicedice,but, right after that, she has felt worse than ever, physically. Chest pains, trouble breathing, can't get comfortable. She'shad 4 rounds of chemo, it has gone quite smoothly until yesterday, and right after the haircut she's felt miserable. Doesn't want to eat or drink either. Perhaps I'm way off base but, I just wonder if her mental state could effect her physical state. Man, I wish i could take this away from her and let me go through it instead.",my wife lorraine had her head shaved yeasterday she didnt enjoy doing it but it was coming out so rapidly she decided to get rid of it allat once i guess it could be a coinicedicebut right after that she has felt worse than ever physically chest pains trouble breathing cant get comfortable sheshad 4 rounds of chemo it has gone quite smoothly until yesterday and right after the haircut shes felt miserable doesnt want to eat or drink either perhaps im way off base but i just wonder if her mental state could effect her physical state man i wish i could take this away from her and let me go through it instead
"anyone familiar with this when they were doing chemo? My wife, Lorraine was supposed to have it yesterday, but because her stomach wounds haven't healed enough, they delayed it until she's healed. She was very nervous because she heard the side effects were pretty brutal... nosebleeds, paralysis, etc. Was just wondering if anyone had any experience with this. Thank you
  Bob",anyone familiar with this when they were doing chemo my wife lorraine was supposed to have it yesterday but because her stomach wounds havent healed enough they delayed it until shes healed she was very nervous because she heard the side effects were pretty brutal nosebleeds paralysis etc was just wondering if anyone had any experience with this thank you bob
"I just saw your reply to my post and hear that you're having troubles with cisplatin. I had....... Drumroll please! ....... 39 rounds of the stuff. I would have Cisplatin/Gemzar one week and Gemzar the next. My Onc's office keeps telling me that I've had the most of any of their patients. It is indeed a tough chemo, but it kept my numbers stable for 3 1/2 years! I'm right here to help you in any way I can. In the begining of this regiment, my Onc had to adjust down the amount I was being administered. Then we decided to try giving me two weeks off between cycles. Since neither of these things seem to effect my CA125s, we stayed on that. 
  Are re they giving you a full bag of saline as a flush after infusion? Also they had to put me on magnesium twice a day for cisplatin removes it from your body. And, oh, baby... The constipation! Drink tons of water andlet me know if I can help.
  (((((((((hugs)))))))))). Maria",i just saw your reply to my post and hear that youre having troubles with cisplatin i had drumroll please 39 rounds of the stuff i would have cisplatingemzar one week and gemzar the next my oncs office keeps telling me that ive had the most of any of their patients it is indeed a tough chemo but it kept my numbers stable for 3 12 years im right here to help you in any way i can in the begining of this regiment my onc had to adjust down the amount i was being administered then we decided to try giving me two weeks off between cycles since neither of these things seem to effect my ca125s we stayed on that are re they giving you a full bag of saline as a flush after infusion also they had to put me on magnesium twice a day for cisplatin removes it from your body and oh baby the constipation drink tons of water andlet me know if i can help hugs maria
"The back story: I was diagnosed in March 2012 with stage 3c, started chemo right away, and had ""optimal"" debulking in June 2012. I have been on chemo ever since, with a progression of different chemo drugs. They all seem to work for a time, and then the CA125 starts going back up and scans show tumor progression. For three years I have had minimal problems except general fatigue. (Except for Doxil, which nearly killed me for 6 weeks, but that is another story!)
  Recent developments: In January 2015, I stopped Topotecan because my CA125 was up to 226 and the scan showed more progression. In fact I had a Ureteral stent placed in Feb for hydronephrosis, as a tumor was collapsing the ureter. It is not comfortable. I feel the urge to urinate CONSTANTLY and I experience bladder spasms every time I do urinate. in the meantime, we have been arguing with the insurance company about what to do next, so I had no chemo for two months. And my CA125 is 460! (Don't forget, the cancer was growing, even with the chemo.)
  During the hiatus, I have developed swelling in my right leg, from the groin down to the toes. I was checked for blood clots, and the blood circulation is fine. It is not particularly painful, but it feels very tight, especially at the ankle and knee. And very heavy. It is about 50% larger than the left leg. My appointment with the lymph edema specialist isn't for two more weeks.
  What do you think? There isn't much on this board about lymphedema. Anyone experience this? It seems weird, so long after my surgery. I just don't know what to expect and would love to hear from others who've dealt with this.
  I was very spoiled for nearly three years with so few problems!",the back story i was diagnosed in march 2012 with stage 3c started chemo right away and had optimal debulking in june 2012 i have been on chemo ever since with a progression of different chemo drugs they all seem to work for a time and then the ca125 starts going back up and scans show tumor progression for three years i have had minimal problems except general fatigue except for doxil which nearly killed me for 6 weeks but that is another story recent developments in january 2015 i stopped topotecan because my ca125 was up to 226 and the scan showed more progression in fact i had a ureteral stent placed in feb for hydronephrosis as a tumor was collapsing the ureter it is not comfortable i feel the urge to urinate constantly and i experience bladder spasms every time i do urinate in the meantime we have been arguing with the insurance company about what to do next so i had no chemo for two months and my ca125 is 460 dont forget the cancer was growing even with the chemo during the hiatus i have developed swelling in my right leg from the groin down to the toes i was checked for blood clots and the blood circulation is fine it is not particularly painful but it feels very tight especially at the ankle and knee and very heavy it is about 50 larger than the left leg my appointment with the lymph edema specialist isnt for two more weeks what do you think there isnt much on this board about lymphedema anyone experience this it seems weird so long after my surgery i just dont know what to expect and would love to hear from others whove dealt with this i was very spoiled for nearly three years with so few problems
"As part of my mastectomy and reconstruction surgery, the plastic surgeon repaired 3 hernias. He used a sheet of mesh (my husband and I joke, he went to Ace Hardware and bought window screen). I thought I was told the mesh dissolves. I had the surgery June 2013. I am having pain across my belly by my lowest rib and across my lower hip. Could the mesh be slipping?",as part of my mastectomy and reconstruction surgery the plastic surgeon repaired 3 hernias he used a sheet of mesh my husband and i joke he went to ace hardware and bought window screen i thought i was told the mesh dissolves i had the surgery june 2013 i am having pain across my belly by my lowest rib and across my lower hip could the mesh be slipping
"I haven't been on much lately but the last several months have been interesting to say the least. From what I read mom with 2 great kids and wolfmeister must be about where I am in my progression with this disease, only we all seem to have slightly different problems. I was doing pretty well till October and my ca125 went from about 100 to over 1000 almost over night. At the time I was on topotecan. Because of the location of the nodes they decided to try 26 rounds of radiation. Anyway I finished that and am now on gemsar. Don't care for it much, rough stuff. I have anywhere from 3 to 4 liters of ascites fluid drained every week. (Don't know how long that can go on). They sent the fluid away to see what would be most effective at this time. Stupid cancer cells died so they are doing it again. They would like to do a new procedure called Y90 where they put radiation spheres in your liver for a new spot that has popped up. Between kidney stones, bladder infections and good ole constipation it has been a rough couple months. Counts have dropped hundreds of points but the ascites continues. Just getting really tired. How do you guys stay so positive with all the stuff they put us thru. Some days I don't know whether to fight or give up. I think I am just getting tired of watching life pass me by. I guess I just need some words of encouragement. Anyone found anything that seems to help?",i havent been on much lately but the last several months have been interesting to say the least from what i read mom with 2 great kids and wolfmeister must be about where i am in my progression with this disease only we all seem to have slightly different problems i was doing pretty well till october and my ca125 went from about 100 to over 1000 almost over night at the time i was on topotecan because of the location of the nodes they decided to try 26 rounds of radiation anyway i finished that and am now on gemsar dont care for it much rough stuff i have anywhere from 3 to 4 liters of ascites fluid drained every week dont know how long that can go on they sent the fluid away to see what would be most effective at this time stupid cancer cells died so they are doing it again they would like to do a new procedure called y90 where they put radiation spheres in your liver for a new spot that has popped up between kidney stones bladder infections and good ole constipation it has been a rough couple months counts have dropped hundreds of points but the ascites continues just getting really tired how do you guys stay so positive with all the stuff they put us thru some days i dont know whether to fight or give up i think i am just getting tired of watching life pass me by i guess i just need some words of encouragement anyone found anything that seems to help
"Hi everyone just a quick update, been on Avastin since 1st line chemo finished in sept 2014 , numbers rising very slowly 33, 39 , 42,48, ect I'm now on 80 . My oncologist thinks it is avastin playing with my numbers and has had other patients with the same thing, I'm hoping that's true as results from last 2 ct scans dec and feb have shown small stable disease. I'm happy there's no new tumors and all major organs clear , I generally feel very well just some joint pain from menopause and sinus problems from avastin . It's funny how much life has changed since diagnosis in April 2014 , I'm just now getting more used To living with this disease , iIts taken a year ! I'm enjoying every day I have . Wishing all you ladies well . Jue x",hi everyone just a quick update been on avastin since 1st line chemo finished in sept 2014 numbers rising very slowly 33 39 4248 ect im now on 80 my oncologist thinks it is avastin playing with my numbers and has had other patients with the same thing im hoping thats true as results from last 2 ct scans dec and feb have shown small stable disease im happy theres no new tumors and all major organs clear i generally feel very well just some joint pain from menopause and sinus problems from avastin its funny how much life has changed since diagnosis in april 2014 im just now getting more used to living with this disease iits taken a year im enjoying every day i have wishing all you ladies well jue x
"Hi,
  I am new to this network and am looking to connect with others with similar situations, experiences and history. As I read through the posts under Roll Call, I didn't see any LMP/Borderline diagnosis listed, and feel uncertain whether to introduce myself there. I feel very blessed and fortunate my cancer turned out to be non-invasive and treatable via surgery and no chemo. From all my research and talking with my gyn/onc it seems there are mixed reviews whether LMP Tumors should be classified as cancer, borderline cancer, precancerous, or benign. I understand also it depends on the pathology testing of the cells and there are various levels within. My oncologist told my husband and me, my tumor was not benign, and if I had been 10 years older, there's a good chance I would have been late stage aggressive cancer. He explained to me the Low Malignant Potential Cancer is fortunately very slow growing and treatable through surgical removal with excellent Prognosis. He explained recurrence chances are low -about 5%, but will want to monitor things closely through ultrasounds and CA125 tests.
  
  About me:
  Age: 36
  Location: Milwaukee, WI
  General Health: Overall good, but about 40 lbs overweight. I try to eat well most of the time and am a regular walker/jogger - 3 miles, 3 times per week. Has a LEEP and Electrcauderization for cervical displaysia (precancerous cells) at age 19.
  Symptoms that led me to see Dr : Bloating and gassy, severe diarrhea spells for 6-9 months
  CA125 Pre-surgery: 105 (have not yet had a post-op test)
  Diagnosis: Stage II Low Malignant Potential Tumor
  Family History: Mom had Cervical cancer at 30 and uterin pollips. No info for fathers side.
  My story:
  Nov 6 I went to a new MD for a general physical, no gyno stuff. I shared what I suspected we're GI problems. the Dr ultimated did an exam of my lower abdomen, she originally though my uterus was enlarged. She set me up with a pelvic ultrasound on the 9th. I could see the tech concentrating on a specific area and taking lots if measurements, but assumed I might have had pollips worst case.
  Fri, Nov 10 my doctor's office called me at work to inform me the Ultrasound showed a 14cm complex cyst on my ovary. The doctor contacted my ob gyn who in turn after review referred me to a gyn/oncologist. She also ordered a CA125 test.
  My CA125 came back at 105, and I met with the gyn/onc the following Wed. He was great! Has a wonderful calm demeanor and allowed me all the time I needed. Becausevof the solid mass visible inthe ultrasound and my CA125, he put my cancer risk at 30%. His plan was to remove the cyst, ovary and tube via laparoscopy. He explained the laparotomy and staging process if he suspected cancer. I was confident with him when I left his office.
  Surgery was Dec 6. Once my GO got in with the scope, he saw the concern and changed my surgery. He informed my husband and parents who were there so they would know the surgery would be longer, and staging would be done. He removed the tumor, right ovary and tube, omentum, 30 lymph nodes and pelvic tissue. I have a incision from about one inch above my naval down to the pubic bone plus 3 tiny incisions -one just below my left ribcage, one at each side above my hips. Final pathology showed the solid mass inthe tumor as borderline cancer, plus borderline cells in one of the pelvic tissue samples. All other test came back neg.
  Forward plan: I see the GO on Jan 14. After that, I will see him every 3 months plus have a CA125 test and ultrasound. If good, will stretch to biannual tests, and of good from there to annual tests.
  
  So, I'm 4 1/2 weeks post op and feeling more and more normal everyday. I have overdone it resulting in some setbacks, but doing well.
  
  Going forward, I want to make serious changes to my lifestyle to prevent recurrence, and other health issues.
  
  I also want to do everything I can to help bring awareness to ovarian and other gynecological cancers. I knew nothing about risks and symptoms before this experience, and feel strongly there needs to be more awareness.
  
  I'm looking forward to learning more people's stories, and making friendships here.",hi i am new to this network and am looking to connect with others with similar situations experiences and history as i read through the posts under roll call i didnt see any lmpborderline diagnosis listed and feel uncertain whether to introduce myself there i feel very blessed and fortunate my cancer turned out to be noninvasive and treatable via surgery and no chemo from all my research and talking with my gynonc it seems there are mixed reviews whether lmp tumors should be classified as cancer borderline cancer precancerous or benign i understand also it depends on the pathology testing of the cells and there are various levels within my oncologist told my husband and me my tumor was not benign and if i had been 10 years older theres a good chance i would have been late stage aggressive cancer he explained to me the low malignant potential cancer is fortunately very slow growing and treatable through surgical removal with excellent prognosis he explained recurrence chances are low about 5 but will want to monitor things closely through ultrasounds and ca125 tests about me age 36 location milwaukee wi general health overall good but about 40 lbs overweight i try to eat well most of the time and am a regular walkerjogger 3 miles 3 times per week has a leep and electrcauderization for cervical displaysia precancerous cells at age 19 symptoms that led me to see dr bloating and gassy severe diarrhea spells for 69 months ca125 presurgery 105 have not yet had a postop test diagnosis stage ii low malignant potential tumor family history mom had cervical cancer at 30 and uterin pollips no info for fathers side my story nov 6 i went to a new md for a general physical no gyno stuff i shared what i suspected were gi problems the dr ultimated did an exam of my lower abdomen she originally though my uterus was enlarged she set me up with a pelvic ultrasound on the 9th i could see the tech concentrating on a specific area and taking lots if measurements but assumed i might have had pollips worst case fri nov 10 my doctors office called me at work to inform me the ultrasound showed a 14cm complex cyst on my ovary the doctor contacted my ob gyn who in turn after review referred me to a gynoncologist she also ordered a ca125 test my ca125 came back at 105 and i met with the gynonc the following wed he was great has a wonderful calm demeanor and allowed me all the time i needed becausevof the solid mass visible inthe ultrasound and my ca125 he put my cancer risk at 30 his plan was to remove the cyst ovary and tube via laparoscopy he explained the laparotomy and staging process if he suspected cancer i was confident with him when i left his office surgery was dec 6 once my go got in with the scope he saw the concern and changed my surgery he informed my husband and parents who were there so they would know the surgery would be longer and staging would be done he removed the tumor right ovary and tube omentum 30 lymph nodes and pelvic tissue i have a incision from about one inch above my naval down to the pubic bone plus 3 tiny incisions one just below my left ribcage one at each side above my hips final pathology showed the solid mass inthe tumor as borderline cancer plus borderline cells in one of the pelvic tissue samples all other test came back neg forward plan i see the go on jan 14 after that i will see him every 3 months plus have a ca125 test and ultrasound if good will stretch to biannual tests and of good from there to annual tests so im 4 12 weeks post op and feeling more and more normal everyday i have overdone it resulting in some setbacks but doing well going forward i want to make serious changes to my lifestyle to prevent recurrence and other health issues i also want to do everything i can to help bring awareness to ovarian and other gynecological cancers i knew nothing about risks and symptoms before this experience and feel strongly there needs to be more awareness im looking forward to learning more peoples stories and making friendships here
